         8	    0.000001333
        16	    0.000000428
        32	    0.000000350
        64	    0.000000348
       128	    0.000000373
       256	    0.000000443
       512	    0.000000533
      1024	    0.000000745
      2048	    0.000001213
      4096	    0.000001843
      8192	    0.000000717
     16384	    0.000001127
     32768	    0.000001878
     65536	    0.000003281
    131072	    0.000006049
    262144	    0.000011236
    524288	    0.000018222
   1048576	    0.000031112
   2097152	    0.000057521
   4194304	    0.000111308
   8388608	    0.000469770
  16777216	    0.001405871
  33554432	    0.002635761
  67108864	    0.004975136
 134217728	    0.008858694
 268435456	    0.016570965
 536870912	    0.032025392
1073741824	    0.062615814
