         8	    0.000002816
        16	    0.000002795
        32	    0.000002744
        64	    0.000002799
       128	    0.000002811
       256	    0.000003459
       512	    0.000003590
      1024	    0.000003815
      2048	    0.000004125
      4096	    0.000005102
      8192	    0.000006011
     16384	    0.000008179
     32768	    0.000010327
     65536	    0.000013657
    131072	    0.000019840
    262144	    0.000034822
    524288	    0.000056955
   1048576	    0.000099630
   2097152	    0.000185554
   4194304	    0.000356800
   8388608	    0.000699071
  16777216	    0.001384416
  33554432	    0.002753240
  67108864	    0.005492468
 134217728	    0.010968815
 268435456	    0.021922171
 536870912	    0.065564401
1073741824	    0.128831026
round 2
         8	    0.000002755
        16	    0.000002757
        32	    0.000002728
        64	    0.000002784
       128	    0.000002782
       256	    0.000003438
       512	    0.000003537
      1024	    0.000003742
      2048	    0.000004107
      4096	    0.000005078
      8192	    0.000005979
     16384	    0.000008212
     32768	    0.000010330
     65536	    0.000013640
    131072	    0.000019851
    262144	    0.000034742
    524288	    0.000056868
   1048576	    0.000099782
   2097152	    0.000185605
   4194304	    0.000356783
   8388608	    0.000699583
  16777216	    0.001384119
  33554432	    0.002753496
  67108864	    0.005492235
 134217728	    0.010969360
 268435456	    0.021921937
 536870912	    0.065498912
1073741824	    0.128699304
round 3
         8	    0.000002784
        16	    0.000002728
        32	    0.000002725
        64	    0.000002776
       128	    0.000002805
       256	    0.000003473
       512	    0.000003559
      1024	    0.000003783
      2048	    0.000004078
      4096	    0.000005083
      8192	    0.000005978
     16384	    0.000008218
     32768	    0.000010337
     65536	    0.000013627
    131072	    0.000019801
    262144	    0.000032992
    524288	    0.000056820
   1048576	    0.000099747
   2097152	    0.000185484
   4194304	    0.000357094
   8388608	    0.000699504
  16777216	    0.001384009
  33554432	    0.002753707
  67108864	    0.005492195
 134217728	    0.010968848
 268435456	    0.021921543
 536870912	    0.065376474
1073741824	    0.129062412
round 4
         8	    0.000002787
        16	    0.000002766
        32	    0.000002739
        64	    0.000002837
       128	    0.000002805
       256	    0.000003463
       512	    0.000003542
      1024	    0.000003719
      2048	    0.000004090
      4096	    0.000005136
      8192	    0.000005974
     16384	    0.000008246
     32768	    0.000010355
     65536	    0.000013731
    131072	    0.000019829
    262144	    0.000034881
    524288	    0.000057035
   1048576	    0.000099861
   2097152	    0.000185746
   4194304	    0.000357058
   8388608	    0.000699348
  16777216	    0.001384278
  33554432	    0.002753498
  67108864	    0.005492067
 134217728	    0.010968713
 268435456	    0.021921568
 536870912	    0.065477513
1073741824	    0.128627776
round 5
         8	    0.000002776
        16	    0.000002744
        32	    0.000002722
        64	    0.000002788
       128	    0.000002782
       256	    0.000003450
       512	    0.000003569
      1024	    0.000003731
      2048	    0.000004116
      4096	    0.000005093
      8192	    0.000005947
     16384	    0.000008214
     32768	    0.000010332
     65536	    0.000013636
    131072	    0.000019804
    262144	    0.000034155
    524288	    0.000056661
   1048576	    0.000099718
   2097152	    0.000185484
   4194304	    0.000356917
   8388608	    0.000699618
  16777216	    0.001384361
  33554432	    0.002753478
  67108864	    0.005492234
 134217728	    0.010968778
 268435456	    0.021922083
 536870912	    0.065559207
1073741824	    0.128864707
